,FrameFileName,FacePath,CelebrityName
0,images\7e791da660ab1d2c7b2f5c4039d4d54c.jpg,Faces/7e791da660ab1d2c7b2f5c4039d4d54c_0.png,Daniel Radcliffe
1,images\Harry_Potter_character_poster.jpg,Faces/Harry_Potter_character_poster_0.png,Daniel Radcliffe
2,images\Male-Celebrities-Who-Have-Dabbled-With-Some-Really-Outlandish-1200x900_5f62142e3dc6c.jpeg,Faces/Male-Celebrities-Who-Have-Dabbled-With-Some-Really-Outlandish-1200x900_5f62142e3dc6c_0.png,Brad Pitt
